YEAR;DOY;ALLSKY_SFC_SW_DWN;TOA_SW_DWN;ALLSKY_SFC_SW_DNI;T2M;T2MWET;T2M_MAX;T2M_MIN;TS_MAX;TS_MIN;QV2M;RH2M;PRECTOTCORR;PS;WS2M_MAX;WS2M_MIN;WS10M_MAX;WS10M_MIN;GWETPROF;ALLSKY_SFC_LW_DWN;TS
2025;209;8.59;18.73;-999.0;12.6;10.08;17.49;9.58;18.42;6.36;6.51;73.24;0.0;100.16;1.67;0.63;2.83;0.79;0.61;29.19;11.61
2025;210;7.09;18.88;-999.0;12.0;11.42;15.51;9.5;15.68;8.3;8.18;91.7;0.0;99.54;1.9;0.73;3.12;1.18;0.61;30.26;11.23
2025;211;2.36;19.03;-999.0;12.58;12.08;14.66;10.37;14.52;9.62;8.57;93.17;4.66;99.45;6.25;2.3;8.59;3.58;0.61;30.27;12.08
2025;212;4.14;19.19;-999.0;11.87;11.28;13.35;8.73;13.16;8.94;8.1;92.42;19.35;99.44;6.74;5.19;9.19;7.15;0.62;29.3;11.5
2025;213;4.81;19.34;-999.0;10.86;10.43;11.62;9.96;11.79;10.13;7.68;94.63;42.46;100.17;5.31;2.78;6.88;3.63;0.55;28.81;11.07
2025;214;9.02;19.5;-999.0;9.91;8.49;12.15;7.74;13.49;6.76;6.24;82.91;4.13;100.87;2.57;0.89;3.39;1.2;0.57;25.95;9.87
2025;215;11.02;19.66;-999.0;8.75;7.41;12.48;6.19;12.87;5.96;5.84;84.35;0.0;100.69;2.33;1.65;2.9;2.25;0.57;26.05;8.95
2025;216;12.91;19.83;-999.0;11.01;9.26;17.12;6.8;17.07;6.37;6.5;80.22;0.0;100.25;1.91;1.0;2.7;1.7;0.57;25.37;10.86
2025;217;12.47;20.0;-999.0;11.9;10.63;16.85;8.06;17.47;7.63;7.33;85.58;0.0;100.51;2.29;1.43;3.22;1.76;0.57;27.26;11.62
2025;218;10.67;20.17;-999.0;12.4;11.27;16.72;9.76;16.67;9.13;7.81;86.95;0.02;100.62;2.67;1.74;3.82;2.58;0.57;27.54;12.07
2025;219;14.19;20.34;-999.0;11.1;9.92;16.29;7.32;17.86;7.24;7.07;86.29;0.02;100.39;1.95;0.1;2.78;0.12;0.57;23.92;11.15
2025;220;6.83;20.51;-999.0;11.54;10.12;17.71;7.86;19.3;6.84;7.04;84.0;0.09;100.23;1.4;0.23;1.93;0.33;0.57;28.92;11.47
2025;221;5.94;20.69;-999.0;9.2;8.29;12.99;7.07;15.28;6.78;6.39;89.15;0.4;100.56;1.67;0.52;2.24;0.66;0.56;29.72;10.44
2025;222;13.07;20.87;-999.0;10.42;8.63;15.73;6.16;15.99;5.38;6.16;80.54;0.0;100.7;1.76;1.1;2.5;1.68;0.56;26.24;10.25
2025;223;-999.0;-999.0;-999.0;12.84;11.15;18.4;8.81;18.4;7.91;7.43;81.01;0.0;100.19;2.37;1.46;3.44;2.11;0.56;27.39;12.39
2025;224;10.62;21.24;-999.0;12.74;11.88;15.78;10.72;16.03;10.58;8.21;89.76;0.0;100.15;2.28;1.59;3.27;2.35;0.56;28.71;12.58
2025;225;13.2;21.42;-999.0;13.01;11.5;18.41;9.42;19.46;9.71;7.7;82.94;0.06;99.99;2.27;1.04;3.23;1.69;0.56;25.79;12.96
2025;226;10.18;21.61;-999.0;12.08;11.21;15.64;8.74;17.15;7.26;7.91;89.6;0.32;99.87;2.78;0.13;3.62;0.2;0.56;29.07;11.91
2025;227;5.04;21.8;-999.0;12.33;11.31;14.43;10.92;14.75;11.3;7.8;87.73;2.72;100.3;3.9;1.85;4.98;2.25;0.56;30.18;12.49
2025;228;14.2;21.99;-999.0;13.03;11.52;16.78;10.69;19.32;9.63;7.67;82.42;0.05;100.15;1.72;0.19;2.11;0.27;0.56;27.33;13.22
2025;229;9.4;22.18;-999.0;12.56;11.15;16.76;9.67;17.71;8.19;7.55;83.94;0.01;99.81;3.21;0.35;4.29;0.42;0.55;27.79;12.0
2025;230;9.45;22.37;-999.0;12.43;10.94;16.97;8.97;18.45;7.36;7.4;83.15;0.14;100.08;1.62;0.16;2.49;0.17;0.55;27.16;12.04
2025;231;13.38;22.57;-999.0;12.33;10.9;16.52;9.02;18.54;8.09;7.37;83.51;0.27;100.73;1.77;0.17;2.33;0.19;0.55;26.46;12.38
2025;232;16.07;22.77;-999.0;11.62;10.22;16.51;7.81;18.96;7.85;7.15;84.37;0.0;100.12;2.3;0.51;2.83;0.73;0.55;25.43;12.13
2025;233;9.86;22.97;-999.0;9.97;9.0;11.21;7.29;11.69;8.43;6.77;88.03;20.77;99.82;4.07;0.85;5.23;1.21;0.56;27.67;10.39
2025;234;15.37;23.17;-999.0;8.65;6.62;10.62;7.03;12.22;5.95;5.25;76.17;5.35;100.96;2.49;0.59;3.1;0.72;0.57;24.41;9.31
2025;235;16.82;23.37;-999.0;8.74;5.83;13.38;4.38;14.76;4.45;4.65;69.15;0.0;101.57;2.94;0.94;3.73;1.22;0.57;22.96;9.12
2025;236;16.36;23.57;-999.0;10.12;8.05;15.57;5.1;15.91;5.97;5.85;77.09;0.0;101.05;3.57;2.25;4.52;2.98;0.57;25.28;10.56
2025;237;17.59;23.79;-999.0;11.72;10.01;17.71;6.36;18.53;6.92;6.9;81.13;0.0;100.4;3.0;1.58;3.71;2.64;0.57;23.79;11.87
2025;238;17.87;24.03;-999.0;12.82;11.07;19.48;7.28;21.01;7.16;7.38;80.92;0.0;99.97;2.15;0.4;2.78;0.49;0.56;24.22;12.68
2025;239;6.44;24.27;-999.0;12.68;11.7;17.29;9.85;20.25;8.14;8.09;88.25;0.13;100.11;1.51;0.25;2.08;0.28;0.56;30.61;12.86
2025;240;4.33;24.51;-999.0;11.09;10.35;13.68;9.71;15.18;10.54;7.48;90.92;0.54;100.05;2.11;0.58;2.61;0.77;0.56;30.23;12.1
2025;241;14.58;24.75;-999.0;11.1;9.57;13.75;9.5;15.65;8.03;6.71;82.17;0.59;100.17;1.78;0.19;2.24;0.26;0.56;28.06;11.6
2025;242;12.58;24.99;-999.0;10.95;9.56;14.5;7.96;16.31;7.36;6.75;83.71;1.22;100.58;1.93;0.52;2.5;0.86;0.56;27.44;10.93
2025;243;8.41;25.24;-999.0;11.4;9.99;15.03;8.6;16.43;8.29;6.92;83.59;0.08;100.78;2.05;0.26;2.43;0.38;0.56;27.26;11.58
2025;244;15.93;25.48;-999.0;11.71;10.35;17.23;7.79;18.36;7.4;7.23;85.1;0.0;100.25;2.7;1.56;3.56;2.25;0.56;26.12;11.88
2025;245;17.17;25.73;-999.0;10.73;9.36;14.29;8.73;15.97;8.8;6.68;83.94;0.32;100.53;3.19;0.5;4.0;0.53;0.55;26.06;11.44
2025;246;19.33;25.97;-999.0;10.35;7.53;15.55;6.21;16.05;7.18;5.31;70.12;0.0;100.67;3.97;2.09;5.05;2.8;0.55;22.14;10.92
2025;247;19.38;26.22;-999.0;9.88;7.38;15.93;4.45;17.86;5.61;5.43;72.77;0.0;100.29;2.5;0.76;3.41;0.96;0.55;22.25;10.64
2025;248;13.52;26.47;-999.0;10.92;9.39;16.35;6.77;18.63;5.3;6.68;82.83;0.0;100.18;1.64;0.37;2.37;0.47;0.55;29.02;11.03
2025;249;6.6;26.71;-999.0;9.98;8.42;14.9;7.37;16.54;6.48;6.19;82.67;0.1;100.32;2.37;0.79;2.93;0.99;0.55;30.09;10.41
2025;250;12.66;26.96;-999.0;9.06;7.47;13.24;6.19;15.46;5.35;5.76;81.55;0.04;100.52;3.08;0.57;3.85;0.72;0.54;29.46;9.78
2025;251;19.53;27.21;-999.0;10.57;8.24;14.22;7.96;16.07;8.06;5.75;73.67;0.12;100.83;2.5;0.93;3.07;1.36;0.54;25.62;11.29
2025;252;-999.0;-999.0;-999.0;11.95;9.78;17.47;7.53;19.52;5.89;6.54;76.31;0.01;100.29;2.27;0.33;3.08;0.44;0.54;-999.0;11.9
2025;253;-999.0;-999.0;-999.0;13.65;11.79;18.62;10.27;20.2;9.62;7.61;79.81;1.47;100.64;2.34;0.83;3.34;1.25;0.54;-999.0;13.9
2025;254;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0
2025;255;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0
2025;256;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0
